Title,Date,Summary,Topic
Attention Is All You Need,2017-06-12,"Introduced the Transformer architecture, which replaced recurrence and convolutions with multi-head self-attention and position-wise feed-forward layers. This architecture enabled massive parallelization during training, improved long-range dependency modeling in sequences, and became the foundation for modern large language models and many downstream NLP and multimodal systems.","Transformers, NLP, Deep Learning"
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018-10-11,"Proposed BERT, a technique for pre-training deep bidirectional transformer encoders using masked language modeling and next-sentence prediction. BERT demonstrated large gains on many NLP benchmarks by providing strong contextual representations that could be fine-tuned for diverse downstream tasks, reshaping transfer learning in NLP.","NLP, Transformers, Pre-training"
GPT-3: Language Models are Few-Shot Learners,2020-05-28,"Presented GPT-3, a very large autoregressive transformer language model with 175 billion parameters that exhibited strong few-shot, one-shot, and zero-shot generalization abilities. The work showed that scale of model parameters and pretraining data can drastically change capabilities, enabling many tasks without task-specific fine-tuning.","LLMs, NLP, Deep Learning"
ResNet: Deep Residual Learning for Image Recognition,2015-12-10,"Introduced residual connections to enable training of extremely deep convolutional neural networks by learning residual functions instead of direct mappings. Residual networks improved gradient flow, reduced training difficulties for deep nets, and achieved state-of-the-art results on ImageNet, influencing many subsequent architectures.","CNN, Computer Vision, Deep Learning"
AlexNet: ImageNet Classification with Deep Convolutional Neural Networks,2012-09-24,"Demonstrated that deep convolutional networks trained on large GPU clusters could drastically outperform traditional computer vision pipelines on large-scale image classification benchmarks. AlexNet popularized ReLU activations, dropout, data augmentation, and GPU training practices that accelerated the deep learning era for vision.","CNN, Computer Vision, Deep Learning"
VGG: Very Deep Convolutional Networks for Large-Scale Image Recognition,2014-09-04,"Studied the effect of depth in convolutional networks by using small 3x3 filters and stacking many layers, showing that deeper networks can yield improved recognition performance when trained carefully. VGG models became a simple and influential baseline for many vision tasks.","CNN, Computer Vision, Deep Learning"
Inception (GoogLeNet): Going Deeper with Convolutions,2014-09-09,Introduced the Inception module that combined filters of multiple sizes in parallel and used dimensionality reduction to manage computation. The architecture allowed deeper and wider networks with efficient computation and paved the way for scaling convolutional nets in resource-constrained settings.,"CNN, Computer Vision, Deep Learning"
Word2Vec: Efficient Estimation of Word Representations in Vector Space,2013-01-16,"Introduced efficient neural network models (skip-gram and CBOW) to learn dense word embeddings from large corpora, capturing semantic and syntactic relationships via vector arithmetic. Word2Vec embeddings became central to many NLP systems and inspired later contextual representation approaches.","NLP, Embeddings, Representation Learning"
GloVe: Global Vectors for Word Representation,2014-06-27,"Proposed GloVe, a global log-bilinear regression model that leveraged aggregated global word-word co-occurrence statistics to produce vector representations of words. GloVe provided robust, efficient embeddings that combined global corpus statistics with local context windows for improved semantics.","NLP, Embeddings, Representation Learning"
FastText: Enriching Word Vectors with Subword Information,2016-05-31,"Presented FastText, which improved word embeddings by modeling subword information (character n-grams), allowing robust representations for rare and morphologically rich words. FastText also included an efficient text classification approach and became popular for resource-constrained and multilingual settings.","NLP, Embeddings, Representation Learning"
Sequence to Sequence Learning with Neural Networks,2014-09-10,"Developed the sequence-to-sequence framework using encoder-decoder neural networks for mapping input sequences to output sequences, facilitating tasks like machine translation and summarization. The approach helped popularize end-to-end neural methods for many sequence transformation problems.","Seq2Seq, NLP, Deep Learning"
Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau et al.),2014-09-01,Introduced attention mechanisms within sequence-to-sequence models to allow decoders to focus on relevant encoder states during generation. This alignment mechanism improved translation quality and inspired the broad adoption of attention in many sequence modeling tasks.,"Attention, Seq2Seq, NLP"
LSTM: Long Short-Term Memory,1997-11-15,"Proposed the LSTM recurrent unit with gating mechanisms to address vanishing and exploding gradients in RNNs, enabling learning of long-range dependencies in sequential data. LSTMs became foundational models for speech recognition, language modeling, and many time-series tasks before transformers gained prominence.","RNN, Sequence Modeling, Deep Learning"
GRU: Gated Recurrent Unit,2014-03-11,"Introduced the Gated Recurrent Unit (GRU) as a simpler gating mechanism alternative to LSTM, combining reset and update gates for efficient sequence modeling. GRUs offered competitive performance with fewer parameters and became widely used in resource-constrained sequence learning tasks.","RNN, Sequence Modeling, Deep Learning"
Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,2019-01-21,"Presented Transformer-XL, which introduced recurrence and segment-level recurrence with adaptive computation to extend transformers' effective context length. The model improved long-context language modeling, addressing limitations of fixed-length context windows in standard transformers.","Transformers, Long Context, NLP"
XLNet: Generalized Autoregressive Pretraining for Language Understanding,2019-06-19,"Proposed XLNet, a generalized autoregressive pretraining method that integrated ideas from autoregressive and autoencoding approaches using permutation-based training. XLNet sought to capture bidirectional contexts while maintaining permutation-based factorization for improved language understanding.","NLP, Pretraining, Transformers"
RoBERTa: A Robustly Optimized BERT Pretraining Approach,2019-07-26,"Showed that BERT's performance could be improved substantially by removing next-sentence prediction, training with larger batches and data, and carefully tuning hyperparameters. RoBERTa emphasized the role of scale and training regimen in pretraining effectiveness.","NLP, Transformers, Pretraining"
ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,2019-09-XX,"Introduced parameter-reduction techniques for BERT-like models, including factorized embedding parameterization and cross-layer parameter sharing, to reduce memory usage and increase training speed while retaining strong performance on language tasks.","NLP, Transformers, Efficient Models"
T5: Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2019-10-24,"Formulated many NLP tasks in a unified text-to-text framework and scaled transformer-based models to pretrain on massive text corpora. T5 demonstrated that large, unified models could be fine-tuned to excel across diverse tasks by framing them consistently.","NLP, Transformers, Transfer Learning"
ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,2020-03-11,"Proposed ELECTRA, which pretrains transformers using a discriminator to detect replaced tokens generated by a small generator network. This approach yielded sample-efficient pretraining, allowing smaller compute budgets to reach competitive downstream performance compared to masked-language modeling.","NLP, Pretraining, Efficient Methods"
"DistilBERT: A Smaller, Faster, Cheaper Version of BERT",2019-10-XX,"Presented DistilBERT which used knowledge distillation to compress BERT models, producing smaller, faster models with comparable performance. DistilBERT aimed to make transformer-based models more accessible for production and edge scenarios through efficient compression techniques.","NLP, Model Compression, Distillation"
"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",2019-09-XX,"Introduced BART, a denoising autoencoder for sequence-to-sequence pretraining that combined bidirectional and autoregressive modeling, achieving strong results on text generation and comprehension tasks and enabling flexible fine-tuning for varied NLP objectives.","NLP, Pretraining, Seq2Seq"
